,yearID,teamID,actual,model,model_type
0,1982,ANA-1982,0.5740740740740741,0.5201392648578786,ML-EN-T1
0,1982,ANA-1982,0.5740740740740741,0.5329497887680621,ML-LN-T1
0,1982,ANA-1982,0.5740740740740741,0.4995297470323521,ML-LS-T1
0,1982,ANA-1982,0.5740740740740741,0.5328371163850518,ML-RD-T1
1,1983,ANA-1983,0.43209876543209874,0.4934081533040391,ML-EN-T1
1,1983,ANA-1983,0.43209876543209874,0.48666060533227673,ML-LN-T1
1,1983,ANA-1983,0.43209876543209874,0.4985639754763171,ML-LS-T1
1,1983,ANA-1983,0.43209876543209874,0.48671328033396205,ML-RD-T1
2,1984,ANA-1984,0.5,0.492207398717761,ML-EN-T1
2,1984,ANA-1984,0.5,0.48524147072404483,ML-LN-T1
2,1984,ANA-1984,0.5,0.4982910400365681,ML-LS-T1
2,1984,ANA-1984,0.5,0.48527572251984363,ML-RD-T1
3,1985,ANA-1985,0.5555555555555556,0.5122119028879619,ML-EN-T1
3,1985,ANA-1985,0.5555555555555556,0.526777929145241,ML-LN-T1
3,1985,ANA-1985,0.5555555555555556,0.49866895064545136,ML-LS-T1
3,1985,ANA-1985,0.5555555555555556,0.5266802303293401,ML-RD-T1
4,1986,ANA-1986,0.5679012345679012,0.5264683184014894,ML-EN-T1
4,1986,ANA-1986,0.5679012345679012,0.5384138915411174,ML-LN-T1
4,1986,ANA-1986,0.5679012345679012,0.49923581655877625,ML-LS-T1
4,1986,ANA-1986,0.5679012345679012,0.5383614567366238,ML-RD-T1
5,1987,ANA-1987,0.46296296296296297,0.508866732308257,ML-EN-T1
5,1987,ANA-1987,0.46296296296296297,0.4948516325466178,ML-LN-T1
5,1987,ANA-1987,0.46296296296296297,0.49906785628816147,ML-LS-T1
5,1987,ANA-1987,0.46296296296296297,0.4949601213673989,ML-RD-T1
6,1988,ANA-1988,0.46296296296296297,0.48424239333618446,ML-EN-T1
6,1988,ANA-1988,0.46296296296296297,0.47025917999672334,ML-LN-T1
6,1988,ANA-1988,0.46296296296296297,0.49847999534100973,ML-LS-T1
6,1988,ANA-1988,0.46296296296296297,0.470346261512625,ML-RD-T1
7,1989,ANA-1989,0.5617283950617284,0.4850454373741781,ML-EN-T1
7,1989,ANA-1989,0.5617283950617284,0.5130310557412554,ML-LN-T1
7,1989,ANA-1989,0.5617283950617284,0.4980076070799056,ML-LS-T1
7,1989,ANA-1989,0.5617283950617284,0.5128707984187757,ML-RD-T1
8,1990,ANA-1990,0.49382716049382713,0.5016072147350648,ML-EN-T1
8,1990,ANA-1990,0.49382716049382713,0.5142579351028027,ML-LN-T1
8,1990,ANA-1990,0.49382716049382713,0.49822805493508754,ML-LS-T1
8,1990,ANA-1990,0.49382716049382713,0.514194606521579,ML-RD-T1
9,1991,ANA-1991,0.5,0.481067321509053,ML-EN-T1
9,1991,ANA-1991,0.5,0.48847837780797765,ML-LN-T1
9,1991,ANA-1991,0.5,0.4978396468092908,ML-LS-T1
9,1991,ANA-1991,0.5,0.48846254249207405,ML-RD-T1
10,1992,ANA-1992,0.4444444444444444,0.4613418237037671,ML-EN-T1
10,1992,ANA-1992,0.4444444444444444,0.46491829194639545,ML-LN-T1
10,1992,ANA-1992,0.4444444444444444,0.49706283055769745,ML-LS-T1
10,1992,ANA-1992,0.4444444444444444,0.4649194362691372,ML-RD-T1
11,1993,ANA-1993,0.4382716049382716,0.48433025627521187,ML-EN-T1
11,1993,ANA-1993,0.4382716049382716,0.46538445371348014,ML-LN-T1
11,1993,ANA-1993,0.4382716049382716,0.498165069833607,ML-LS-T1
11,1993,ANA-1993,0.4382716049382716,0.46547036307391176,ML-RD-T1
12,1994,ANA-1994,0.40869565217391307,0.4910350695896776,ML-EN-T1
12,1994,ANA-1994,0.40869565217391307,0.4589322920696776,ML-LN-T1
12,1994,ANA-1994,0.40869565217391307,0.4990145471587924,ML-LS-T1
12,1994,ANA-1994,0.40869565217391307,0.4590689805667974,ML-RD-T1
13,1995,ANA-1995,0.5379310344827586,0.5230840840897935,ML-EN-T1
13,1995,ANA-1995,0.5379310344827586,0.5078658902069476,ML-LN-T1
13,1995,ANA-1995,0.5379310344827586,0.5003791047456507,ML-LS-T1
13,1995,ANA-1995,0.5379310344827586,0.5078932164779826,ML-RD-T1
14,1996,ANA-1996,0.43478260869565216,0.5013891340131896,ML-EN-T1
14,1996,ANA-1996,0.43478260869565216,0.4940714451276714,ML-LN-T1
14,1996,ANA-1996,0.43478260869565216,0.4990335600527797,ML-LS-T1
14,1996,ANA-1996,0.43478260869565216,0.4940889588815762,ML-RD-T1
15,1997,ANA-1997,0.5185185185185185,0.5154906467915545,ML-EN-T1
15,1997,ANA-1997,0.5185185185185185,0.49918004781092495,ML-LN-T1
15,1997,ANA-1997,0.5185185185185185,0.49968720978605347,ML-LS-T1
15,1997,ANA-1997,0.5185185185185185,0.49924603692896946,ML-RD-T1
16,1998,ANA-1998,0.5246913580246914,0.5049529501662994,ML-EN-T1
16,1998,ANA-1998,0.5246913580246914,0.5115567071714712,ML-LN-T1
16,1998,ANA-1998,0.5246913580246914,0.49924631407568965,ML-LS-T1
16,1998,ANA-1998,0.5246913580246914,0.5115150179920201,ML-RD-T1
17,1999,ANA-1999,0.43209876543209874,0.4886560173482415,ML-EN-T1
17,1999,ANA-1999,0.43209876543209874,0.4743312165922333,ML-LN-T1
17,1999,ANA-1999,0.43209876543209874,0.4984485027902694,ML-LS-T1
17,1999,ANA-1999,0.43209876543209874,0.4744248855921854,ML-RD-T1
